RollVelocity , FinalVel2
0 , -nan
1.94749e-26 , -0.0108629
1.94749e-26 , -0.0107871
1.94749e-26 , -0.0108206
9.73746e-27 , -0.0108359
9.73746e-27 , -0.0108165
9.73746e-27 , -0.0108325
9.73746e-27 , -0.0108175
9.73746e-27 , -0.010824
4.86873e-27 , -0.0108348
4.86873e-27 , -0.0108573
4.86873e-27 , -0.0108304
4.86873e-27 , -0.0107721
4.86873e-27 , -0.0108088
2.43436e-27 , -0.0108521
2.43436e-27 , -0.0108413
2.43436e-27 , -0.010826
2.43436e-27 , -0.0108088
2.43436e-27 , -0.010825
1.21718e-27 , -0.010848
1.21718e-27 , -0.0108044
1.21718e-27 , -0.010824
1.21718e-27 , -0.0108206
1.21718e-27 , -0.0108325
6.08591e-28 , -0.010825
6.08591e-28 , -0.0108131
6.08591e-28 , -0.0108359
6.08591e-28 , -0.0108263
6.08591e-28 , -0.0108315
3.04295e-28 , -0.0108033
3.04295e-28 , -0.0108402
3.04295e-28 , -0.0108454
3.04295e-28 , -0.0108013
3.04295e-28 , -0.0108219
1.52148e-28 , -0.0108237
1.52148e-28 , -0.0108199
1.52148e-28 , -0.010839
1.52148e-28 , -0.0108098
1.52148e-28 , -0.010824
7.60739e-29 , -0.0108209
7.60739e-29 , -0.0108975
7.60739e-29 , -0.0107739
7.60739e-29 , -0.0108175
7.60739e-29 , -0.0108175
3.80369e-29 , -0.0108379
3.80369e-29 , -0.0108477
3.80369e-29 , -0.0107992
3.80369e-29 , -0.0108196
3.80369e-29 , -0.0108423
1.90185e-29 , -0.0108413
1.90185e-29 , -0.010799
1.90185e-29 , -0.0108186
1.90185e-29 , -0.010826
1.90185e-29 , -0.0108165
9.50923e-30 , -0.0108281
9.50923e-30 , -0.0108978
9.50923e-30 , -0.0107925
9.50923e-30 , -0.0108467
9.50923e-30 , -0.0108196
4.75462e-30 , -0.0108108
4.75462e-30 , -0.010824
4.75462e-30 , -0.0107861
4.75462e-30 , -0.0108206
4.75462e-30 , -0.0108555
2.37731e-30 , -0.0108044
2.37731e-30 , -0.010823
2.37731e-30 , -0.0108196
2.37731e-30 , -0.01089
2.37731e-30 , -0.0107902
1.18865e-30 , -0.0108002
1.18865e-30 , -0.010825
1.18865e-30 , -0.0108196
1.18865e-30 , -0.0108369
1.18865e-30 , -0.0108359
5.94327e-31 , -0.0108057
5.94327e-31 , -0.0108206
5.94327e-31 , -0.0108359
5.94327e-31 , -0.0108348
5.94327e-31 , -0.0108131
2.97164e-31 , -0.0108294
2.97164e-31 , -0.0108694
2.97164e-31 , -0.0108119
2.97164e-31 , -0.0107894
2.97164e-31 , -0.0108488
1.48582e-31 , -0.0108273
1.48582e-31 , -0.0108467
1.48582e-31 , -0.010801
1.48582e-31 , -0.0108273
1.48582e-31 , -0.0108596
7.42909e-32 , -0.0107881
7.42909e-32 , -0.0107982
7.42909e-32 , -0.0108877
7.42909e-32 , -0.0107796
7.42909e-32 , -0.0108023
3.71454e-32 , -0.0108325
3.71454e-32 , -0.010825
3.71454e-32 , -0.0108284
3.71454e-32 , -0.0108152
3.71454e-32 , -0.0108477
1.85727e-32 , -0.0108175
1.85727e-32 , -0.0108121
1.85727e-32 , -0.0108294
1.85727e-32 , -0.0108217
1.85727e-32 , -0.0108284
9.28636e-33 , -0.0108291
9.28636e-33 , -0.0108121
9.28636e-33 , -0.0108186
9.28636e-33 , -0.0108423
9.28636e-33 , -0.0108273
4.64318e-33 , -0.010826
4.64318e-33 , -0.010824
4.64318e-33 , -0.010826
4.64318e-33 , -0.0108196
4.64318e-33 , -0.0108315
2.32159e-33 , -0.0108131
2.32159e-33 , -0.0108325
2.32159e-33 , -0.0108328
2.32159e-33 , -0.0108359
2.32159e-33 , -0.0108325
1.1608e-33 , -0.0108294
